name,strand,start,end,chrom
0610005C13Rik,-,45567794,45575176,chr7
0610007P14Rik,-,85815454,85824545,chr12
0610009B22Rik,-,51685384,51688634,chr11
0610009L18Rik,+,120348677,120351190,chr11
0610009O20Rik,+,38250248,38262629,chr18
0610010B08Rik,-,175192004,176636319,chr2
0610010F05Rik,-,23573775,23633631,chr11
0610010K14Rik,-,70235203,70237914,chr11
0610011F06Rik,+,25875499,25877163,chr17
0610012G03Rik,-,31947050,31948521,chr16
0610030E20Rik,+,72347316,72353160,chr6
0610031O16Rik,-,138210716,138239663,chr3
0610037L13Rik,+,107889898,107897802,chr4
0610038B21Rik,+,77517055,77518578,chr8
0610039H22Rik,+,88619250,88623426,chr11
0610039K10Rik,+,163644849,163645800,chr2
0610040B10Rik,+,143329307,143332704,chr5
0610040F04Rik,-,108577035,108660934,chr6
0610040J01Rik,+,63812494,63899619,chr5
0610043K17Rik,+,101353782,101399185,chr4
1010001N08Rik,-,11042036,11052567,chr18
1110001J03Rik,+,38534860,38539449,chr6
1110002L01Rik,-,3403882,3426747,chr12
1110004E09Rik,-,90925810,90934849,chr16
1110004F10Rik,+,116093379,116105210,chr7
1110006O24Rik,-,115631048,115631816,chr5
1110007C09Rik,-,49202950,49216026,chr13
1110008F13Rik,+,156863121,156873562,chr2
1110008L16Rik,+,55302636,55382491,chr12
1110008P14Rik,-,32379100,32381915,chr2
1110012L19Rik,+,70385912,70389416,chrX
1110015O18Rik,+,4798707,4814911,chr3
1110017D15Rik,-,41505008,41517333,chr4
1110019D14Rik,+,13871568,13896421,chr6
1110020A21Rik,-,84917181,84957710,chr17
1110025L11Rik,-,89063409,89064002,chr16
1110028F11Rik,+,87699523,87705327,chr11
1110028F18Rik,+,106587142,106594820,chr8
1110032A03Rik,-,50762827,50768152,chr9
1110032F04Rik,+,68869585,68872163,chr3
1110034G24Rik,+,132690282,132751055,chr2
1110036E04Rik,+,64049828,64054100,chr9
1110037F02Rik,+,11485957,11551143,chr4
1110038B12Rik,-,34950235,34952471,chr17
1110038F14Rik,+,76948543,76950731,chr15
1110046J04Rik,+,33936031,33960181,chr13
1110051M20Rik,-,91277827,91444642,chr2
1110054M08Rik,-,24392555,24393655,chr16
1110058D11Rik,-,64049861,64050672,chr17
1110059E24Rik,-,21597312,21652791,chr19
1110059G10Rik,-,122945088,122951000,chr9
1110065P20Rik,-,124849484,124850730,chr4
1190002F15Rik,+,134929091,134951718,chr6
1190002N15Rik,-,94517863,94538081,chr9
1190003K10Rik,-,64481245,64497792,chr13
1190005I06Rik,-,120608601,120634382,chr8
1190007I07Rik,-,82619850,82623228,chr10
1200014J11Rik,+,73047866,73083579,chr11
1300002E11Rik,+,21794346,21809039,chr16
1300017J02Rik,-,103250529,103288297,chr9
1500004A13Rik,-,88822009,88832487,chr3
1500009C09Rik,+,82252396,82260753,chr15
1500009L16Rik,+,83722864,83762762,chr10
1500011B03Rik,-,114808195,114813976,chr5
1500011K16Rik,-,127791376,127792488,chr2
1500012F01Rik,+,167062933,167065862,chr2
1500012K07Rik,+,75308695,75331419,chr7
1500015A07Rik,+,61726389,61728253,chr18
1500015L24Rik,+,20405287,20422785,chr19
1500015O10Rik,+,43730601,43742564,chr1
1500017E21Rik,-,36619417,36689479,chr19
1500026H17Rik,+,89686362,89700866,chr10
1600002D24Rik,-,95831122,95929077,chr16
1600002H07Rik,-,24215055,24220769,chr17
1600002K03Rik,+,80172943,80175119,chr10
1600010M07Rik,-,109998376,110006646,chr7
1600012H06Rik,+,14943183,14945939,chr17
1600014C10Rik,+,38183216,38197565,chr7
1600014C23Rik,-,45732863,45733844,chr17
1600014K23Rik,+,85249676,85270291,chrX
1600015I10Rik,+,48929895,48933687,chr6
1600019K03Rik,-,35503169,35509419,chr16
1600020E01Rik,+,86527329,86564449,chr6
1600023N17Rik,-,45668700,45669708,chr5
1600025M17Rik,+,56317607,56320664,chrX
1600027J07Rik,-,103343877,103347534,chr8
1600029I14Rik,+,99470420,99474751,chr9
1600029O15Rik,+,58202896,58208808,chr9
1700001C02Rik,+,30466076,30484087,chr5
1700001C19Rik,-,47412733,47437375,chr17
1700001D01Rik,-,61281521,61288872,chr8
1700001F09Rik,-,43342383,43347811,chr14
1700001G01Rik,+,17035507,17137559,chr18
1700001G11Rik,-,66295328,66297129,chr14
1700001G17Rik,+,33669823,33670712,chr1
1700001J03Rik,-,146182449,146185304,chr5
1700001J11Rik,+,40050557,40053025,chr9
1700001K19Rik,-,110667688,110682619,chr12
1700001K23Rik,-,53248735,53255205,chr19
1700001L05Rik,-,83353846,83367297,chr15
1700001L19Rik,+,68597438,68614231,chr13
1700001O22Rik,-,30795562,30803664,chr2
1700001P01Rik,-,97771480,97775918,chr11
1700003C15Rik,-,11749832,11769308,chr5
1700003D09Rik,-,98350717,98358283,chr11
1700003E16Rik,+,83156403,83162975,chr6
1700003E24Rik,+,93156220,93183944,chrX
1700003F12Rik,+,154548903,154550048,chr2
1700003G13Rik,-,45318265,45322079,chr9
1700003G18Rik,-,116081761,116093149,chr7
1700003H04Rik,-,124565890,124581091,chr3
1700003I22Rik,+,56018977,56020203,chr1
1700003L19Rik,+,12811389,12848653,chr16
1700003M02Rik,-,34711331,34730206,chr4
1700003M07Rik,+,129960373,129965138,chr4
1700003P14Rik,+,118556167,118588629,chr13
1700006A11Rik,-,124401154,124426028,chr3
1700006E09Rik,+,101987055,101992264,chr11
1700006F04Rik,+,119749226,119751564,chr14
1700006H21Rik,+,107687396,107692168,chr13
1700007B14Rik,+,75448693,75984507,chr8
1700007F19Rik,-,58141706,58163807,chr3
1700007G11Rik,+,98329303,98802019,chr5
1700007J10Rik,-,59725916,59740154,chr11
1700007K09Rik,-,131325930,131329499,chr7
1700007K13Rik,-,28462000,28466324,chr2
1700007L15Rik,-,33379853,33380736,chr16
1700007P06Rik,+,187125137,187127852,chr1
1700008C04Rik,+,51005155,51062543,chr12
1700008F21Rik,+,129067133,129183732,chr8
1700008I05Rik,-,135654697,135693790,chrX
1700008J07Rik,-,127510437,127512869,chr7
1700008K24Rik,-,49112263,49113533,chr17
1700008O03Rik,-,44360044,44375030,chr7
1700008P02Rik,-,6615412,6620443,chr3
1700009C05Rik,-,81900464,81910800,chr6
1700009J07Rik,+,77893419,77896111,chr10
1700009N14Rik,+,39450292,39451778,chr4
1700010B08Rik,+,173719414,173722086,chr2
1700010D01Rik,-,95732589,95733265,chrX
1700010I02Rik,-,7925302,7954887,chr3
1700010I14Rik,+,8988332,9008319,chr17
1700010J16Rik,+,112726925,112785599,chr10
1700010K23Rik,+,66657117,66664626,chr16
1700011A15Rik,+,101447744,101453909,chr15
1700011B04Rik,+,35181622,35188014,chr13
1700011C11Rik,+,71961174,72027317,chr7
1700011E24Rik,-,87389570,87427741,chr17
1700011H14Rik,-,49226358,49245428,chr14
1700011I03Rik,+,57533825,57731065,chr18
1700011L22Rik,-,79210429,79248583,chr8
1700011M02Rik,+,102908904,102909651,chrX
1700012A03Rik,+,32050287,32058915,chr6
1700012B07Rik,-,109788290,109828046,chr11
1700012B09Rik,-,14758193,14771030,chr9
1700012C14Rik,+,30460984,30463313,chr6
1700012D01Rik,+,127667122,127668851,chr10
1700012D14Rik,-,111117672,111122675,chr7
1700012D16Rik,-,153296501,153298649,chr3
1700012H19Rik,-,112822964,112825128,chr11
1700012I11Rik,+,67226768,67377094,chr15
1700012L04Rik,+,9283763,9284288,chrX
1700012P22Rik,-,144418190,144438772,chr4
1700013D24Rik,-,124347593,124357086,chr6
1700013F07Rik,+,108537583,108544697,chr3
1700013G24Rik,+,137453295,137455461,chr4
1700013H16Rik,-,53742900,53757831,chrX
1700015E13Rik,+,170308860,170312125,chr1
1700015F17Rik,-,5437826,5479143,chr5
1700015G11Rik,-,52011679,52015716,chr7
1700016C15Rik,+,177729813,177753305,chr1
1700016D06Rik,-,11654923,11678750,chr8
1700016G22Rik,-,5855508,5858092,chr13
1700016H13Rik,-,103648586,103655732,chr5
1700016K19Rik,+,75999911,76003569,chr11
1700016L04Rik,+,14705608,14759019,chr10
1700016L21Rik,+,80445931,80475660,chr1
1700016P04Rik,+,13413336,13415996,chr6
1700017B05Rik,-,57252321,57262599,chr9
1700017D01Rik,-,11096815,11130878,chr19
1700017G19Rik,-,40504864,40522912,chr3
1700017J07Rik,+,168978268,168978906,chr2
1700017L05Rik,+,77465487,77468857,chr5
1700017N19Rik,+,100592385,100618391,chr10
1700018A04Rik,-,31565491,31582513,chr13
1700018B08Rik,-,121530783,121541954,chr8
1700018B24Rik,-,48605730,48609100,chr3
1700018C11Rik,-,63607090,63622429,chr4
1700018F24Rik,+,145042989,145045678,chr5
1700018G05Rik,+,102928371,102929107,chrX
1700018L02Rik,+,29047482,29048729,chr19
1700019A02Rik,-,53158576,53187617,chr1
1700019B03Rik,+,3470861,3487178,chr8
1700019B21Rik,-,62510538,62527011,chrX
1700019C18Rik,-,35210659,35212048,chr13
1700019D03Rik,-,52925126,52952840,chr1
1700019E08Rik,+,45696604,45698447,chr2
1700019G17Rik,-,85899049,85904938,chr6
1700019G24Rik,-,5963896,5977393,chr6
1700019L03Rik,-,32777412,32784405,chr2
1700019M22Rik,-,96046620,96047222,chr12
